H,f1,f2,f3
5,0.133333333,0.333333333,0.533333333
5,0.133333333,0.533333333,0.333333333
5,0.133333333,0.733333333,0.133333333
5,0.333333333,0.133333333,0.533333333
5,0.333333333,0.533333333,0.133333333
5,0.533333333,0.133333333,0.333333333
5,0.533333333,0.333333333,0.133333333
5,0.733333333,0.133333333,0.133333333
5,0.066666667,0.066666667,0.866666667
5,0.066666667,0.266666667,0.666666667
5,0.066666667,0.466666667,0.466666667
5,0.066666667,0.666666667,0.266666667
5,0.066666667,0.866666667,0.066666667
5,0.266666667,0.066666667,0.666666667
5,0.266666667,0.666666667,0.066666667
5,0.466666667,0.066666667,0.466666667
5,0.466666667,0.466666667,0.066666667
5,0.666666667,0.066666667,0.266666667
5,0.666666667,0.266666667,0.066666667
5,0.866666667,0.066666667,0.066666667
5,0,0,1
5,0,0.2,0.8
5,0,0.4,0.6
5,0,0.6,0.4
5,0,0.8,0.2
5,0,1,0
5,0.2,0,0.8
5,0.2,0.8,0
5,0.4,0,0.6
5,0.4,0.6,0
5,0.6,0,0.4
5,0.6,0.4,0
5,0.8,0,0.2
5,0.8,0.2,0
5,1,0,0
6,0.333333333,0.333333333,0.333333333
6,0.277777778,0.277777778,0.444444444
6,0.277777778,0.444444444,0.277777778
6,0.444444444,0.277777778,0.277777778
6,0.222222222,0.222222222,0.555555556
6,0.222222222,0.388888889,0.388888889
6,0.222222222,0.555555556,0.222222222
6,0.388888889,0.222222222,0.388888889
6,0.388888889,0.388888889,0.222222222
6,0.555555556,0.222222222,0.222222222
6,0.166666667,0.166666667,0.666666667
6,0.166666667,0.333333333,0.5
6,0.166666667,0.5,0.333333333
6,0.166666667,0.666666667,0.166666667
6,0.333333333,0.166666667,0.5
6,0.333333333,0.5,0.166666667
6,0.5,0.166666667,0.333333333
6,0.5,0.333333333,0.166666667
6,0.666666667,0.166666667,0.166666667
6,0.111111111,0.111111111,0.777777778
6,0.111111111,0.277777778,0.611111111
6,0.111111111,0.444444444,0.444444444
6,0.111111111,0.611111111,0.277777778
6,0.111111111,0.777777778,0.111111111
6,0.277777778,0.111111111,0.611111111
6,0.277777778,0.611111111,0.111111111
6,0.444444444,0.111111111,0.444444444
6,0.444444444,0.444444444,0.111111111
6,0.611111111,0.111111111,0.277777778
6,0.611111111,0.277777778,0.111111111
6,0.777777778,0.111111111,0.111111111
6,0.055555556,0.055555556,0.888888889
6,0.055555556,0.222222222,0.722222222
6,0.055555556,0.388888889,0.555555556
6,0.055555556,0.555555556,0.388888889
6,0.055555556,0.722222222,0.222222222
6,0.055555556,0.888888889,0.055555556
6,0.222222222,0.055555556,0.722222222
6,0.222222222,0.722222222,0.055555556
6,0.388888889,0.055555556,0.555555556
6,0.388888889,0.555555556,0.055555556
6,0.555555556,0.055555556,0.388888889
6,0.555555556,0.388888889,0.055555556
6,0.722222222,0.055555556,0.222222222
6,0.722222222,0.222222222,0.055555556
6,0.888888889,0.055555556,0.055555556
6,0,0,1
6,0,0.166666667,0.833333333
6,0,0.333333333,0.666666667
6,0,0.5,0.5
6,0,0.666666667,0.333333333
6,0,0.833333333,0.166666667
6,0,1,0
6,0.166666667,0,0.833333333
6,0.166666667,0.833333333,0
6,0.333333333,0,0.666666667
6,0.333333333,0.666666667,0
6,0.5,0,0.5
6,0.5,0.5,0
6,0.666666667,0,0.333333333
6,0.666666667,0.333333333,0
6,0.833333333,0,0.166666667
6,0.833333333,0.166666667,0
6,1,0,0
7,0.333333333,0.333333333,0.333333333
7,0.285714286,0.285714286,0.428571429
7,0.285714286,0.428571429,0.285714286
7,0.428571429,0.285714286,0.285714286
7,0.238095238,0.238095238,0.523809524
7,0.238095238,0.380952381,0.380952381
7,0.238095238,0.523809524,0.238095238
7,0.380952381,0.238095238,0.380952381
7,0.380952381,0.380952381,0.238095238
7,0.523809524,0.238095238,0.238095238
7,0.19047619,0.19047619,0.619047619
7,0.19047619,0.333333333,0.476190476
7,0.19047619,0.476190476,0.333333333
7,0.19047619,0.619047619,0.19047619
7,0.333333333,0.19047619,0.476190476
7,0.333333333,0.476190476,0.19047619
7,0.476190476,0.19047619,0.333333333
7,0.476190476,0.333333333,0.19047619
7,0.619047619,0.19047619,0.19047619
